印度股市投资的分步指南是什么？	投资股票市场的分步指南是什么？	0
科希诺钻石的故事是什么？	如果印度政府偷走了科希诺（Koh-i-Noor）钻石，会发生什么？	0
使用VPN时，如何提高internet连接速度？	通过DNS进行黑客攻击如何提高互联网速度？	0
为什么我精神上很孤独？我怎样才能解决它？	当[math]23^{24}[/math]除以24,23时，求余数？	0
哪一种能很快地溶于水？糖、盐、甲烷和二氧化碳？	哪种鱼能在盐水中生存？	0
占星术：我是摩羯座的太阳，顶着月亮，顶着升起的帽子…这对我来说意味着什么？	我是三重摩羯座（太阳、月亮和摩羯座的上升点），这对我来说意味着什么？	1
我应该买蒂亚戈吗？	是什么让孩子们保持活跃，远离手机和视频游戏？	0
我怎样才能成为一名好的地质学家？	我应该怎样做才能成为一名伟大的地质学家？	1
你什么时候用シ 而不是し?	什么时候用“&”代替“and”？	0
摩托罗拉（公司）：我能破解我的Motorolla DCX3400包机吗？	如何破解摩托罗拉DCX3400免费上网？	0
用菲涅耳双棱镜求狭缝分离的方法？	关于笔记本电脑及其组件的耐用性和可靠性，技术人员能告诉我们一些什么？	0
如何阅读和查找我的YouTube评论？	如何查看我在Youtube上的所有评论？	1
什么能使物理容易学？	你如何使物理容易学？	1
你的第一次性经历是什么样的？	你的第一次性经历是什么？	1
美国有哪些法律可以将你的身份从学生签证改为绿卡，与加拿大的移民法相比如何？	在美国，有哪些法律将你的身份从学生签证改为绿卡？它们与日本的移民法相比如何？	0
特朗普担任总统对目前持有F1签证的国际硕士生意味着什么？	特朗普担任总统将如何影响目前在美国或计划在美国学习的学生？	1
为什么女孩想和她们拒绝的男人做朋友？	男人拒绝女孩后感觉如何？	0
为什么这么多Quora用户发布的问题在谷歌上都能轻易得到回答？	为什么人们会问Quora的问题，这些问题很容易被谷歌回答？	1
班格罗最好的数字营销机构是哪家？	浦那最好的数字营销机构是哪家？	0
为什么火箭看起来是白色的？	为什么火箭和助推器被漆成白色？	1
是什么让人嫉妒？	我该怎么做才能避免嫉妒别人？	0
在Quora上不应该问的问题有哪些？	关于Quora我应该问哪个问题？	0
30千伏的马力是多少？	在哪里可以找到CC到马力的转换图？	0
每次我看钟，数字都是一样的，这是什么意思？	时钟的指针一天重叠多少次？	0
在医药公司面试过程中有哪些技巧？	在基础医学的工作面试过程中有什么秘诀？	0
什么是web应用程序？	什么是web应用程序框架？	0
社会是否过于重视体育运动？	体育如何为社会做出贡献？	0
网上赚钱的最佳方式是什么？	网上要钱的最佳方式是什么？	0
我应该如何准备CA最终法律？	一个人应该如何知道他/她已经为CA期末考试做好了充分的准备？	1
你想做得更好的一件事是什么？	尽管你知道的更多，但你做的一件事是什么？	0
对于一个鼻子在晚上会闷热的人，有什么特别的照顾吗？	我怎样才能不让鼻子在晚上闷热呢？	1
哪个权力游戏的恶棍最有可能宽恕你？	你最想任由哪个权力游戏的恶棍摆布？	1
美国政府是否仍然因为某些美国公民的政治观点而将其列入黑名单（就业等）？	如何确定气体分子的平均速度？	0
西班牙最好的旅游网站是什么？	最好的旅游网站是什么？	0
为什么有些人认为奥巴马会试图拿走他们的枪？	是否有一项枪支管制计划，以取走人们已经拥有的枪支？	0
我今年19岁。我该如何提高自己的技能，或者在未来几年我该如何成为一名企业家？	我是一个19岁的小伙子。我怎样才能在未来10年成为亿万富翁？	0
当一个女朋友问她的男朋友“你为什么选择我？是什么让你想和我在一起？”时，你应该怎么回答她？	我女朋友说我们应该结束这一切，因为她对我的感情感到困惑。我祝她一切顺利。我应该打电话问她是否想重归于好吗？	0
我们如何准备UPSC？	我如何为公务员做好准备？	1
机翼完全后掠的f-14的失速速度和AOA是多少？	为什么飞机停止使用像F-14那样的可变后掠翼？	0
斯拉夫人为什么蹲着？	蹲着会让我的腿变粗吗？	0
我什么时候可以收到确认邮件？	我什么时候能收到确认邮件？	0
我可以通过日间交易每月赚50000美元吗？	我一个月可以做30000天的交易吗？	0
从长远来看，做一个好孩子而不是一个叛逆者值得吗？	无聊对孩子有好处吗？	0
雷克斯诺德从哪些大学招收新毕业生？他们在找什么专业？	B&G食品从哪些大学招收新毕业生？他们在找什么专业？	0
增加Instagram粉丝的最快方法是什么？	我们如何增加Instagram的粉丝数量？	0
达斯·维德在《星球大战》传说中是如何与达斯·摩尔作战的？	Quora对配置文件描述有字符限制吗？	0
